순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독,tmdb_id,genres,cast,poster_url
62,1987,2017-12-27,"58,175,343,145","7,233,010","1,299","138,238",한국,한국,(주)씨제이이엔엠,드라마,129분,9.32,장준환,437103.0,"드라마, 역사, 스릴러","김윤석, 하정우, 유해진, 김태리, 박희순, 이희준, 설경구, 여진구, 강동원, 문성근, 유승목, 현봉식, 박지환, 이용직, Park Ji-hong, 김의성, 김종수, 이창훈, 서현우, 이현균, 박경혜, 김수진, 조우진, 우현, 문소리, Kim Kyung-duk, 오달수, 고창석, Bae Young-ran, 김국희, 정인기, Lee Hwa-ryong, 최광일, Kim Seung-hoon, Kang Jeong-woo, Na Chul, Kim Won-jin, 한준우, Yoon Jae-guk, Kim Dae-heung, Choi Mi-geum, 최지민, 이은주, 황성준",https://image.tmdb.org/t/p/w500/mO55nkEFrI2EVdjxx0asaOGtHfa.jpg
63,베를린,2013-01-30,"52,358,372,637","7,166,688",894,"111,760",한국,"한국,독일",(주)씨제이이엔엠,액션,120분,7.85,류승완,160704.0,"액션, 스릴러, 범죄","하정우, 한석규, 류승범, 전지현, 이경영, 곽도원, 윤종빈, 김서형, 최무성, 명계남, John Keogh, Numan Acar, Pasquale Aleardi, Thomas Thieme, Tayfun Bademsoy, Werner Daehn, Sinja Dieks, Toni Varvasoudis, Matthias Günther, Oskars Lauva, Can Aydin, Igor Alijev, Tarek Aref, Korkmaz Arslan, Ahmad Dabdoub, Didzis Eglitis, Andrejs Filipovs, Jan Filkorn, Anton Heidrich, Manvel Isadzanjan, Lafi Khalil, Kwak Jin-seok, 이경미, Rihards Lepers, Ahmet Levent, Tom J. Benedict, Imad Mardnli, Gurgen Mikaeljan, David Mikalejan, Rasim Mukhtarov, Ferhad Nasso, Mārtiņš Počs, Moriel Poorgholy, Deepika Rai, Tamara Sobollova, Oleg Vandish, Kam Yaqub, Jeff Zafar, Rico Zinke, Park Ji-hwan, Baek Seung-ik",https://image.tmdb.org/t/p/w500/jRcjCpvpZbhtcztNT7xzwq7XcfD.jpg
64,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927",한국,한국,(주)씨제이이엔엠,액션,143분,8.65,조의석,382220.0,"범죄, 액션","이병헌, 강동원, 김우빈, 엄지원, 오달수, 진경, 정원중, 유연수, 조현철, 박해수, 박정자, 주석태, Song Yo-sep, 이순원, Kim Sung-gon, Choi Kwang-je, 우도환, 정수교, 한우열, 장률",https://image.tmdb.org/t/p/w500/ebJHlPpLKi4giADhtLhYoV3hV6Q.jpg
65,터널,2016-08-10,"57,530,903,417","7,120,905","1,105","113,215",한국,한국,(주)쇼박스,드라마,126분,8.63,김성훈,390497.0,"스릴러, 드라마","하정우, 배두나, 오달수, 신정근, 남지현, 정석용, Lee Han-seo, 김해숙, 유승목, 박혁권, 조현철, 이철민, 한수현, Kim Seung-hoon, 예수정, Jin Yong-uk, 이동용, 주석태, 안세호, 서현우, 이상희, Kang Shin-chul, 진선규, Yeo Min-Gyu, 이창직, 김성규, 박진우, Kim Ooh-jin, 김종수, Ha Duk-sung, 이동진",https://image.tmdb.org/t/p/w500/3NdzKTigenok3nTZcSZjUw7WhVa.jpg
66,어벤져스,2012-04-26,"59,644,552,758","7,087,971",967,"112,559",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",액션,142분,8.67,조스 웨던,24428.0,"SF, 액션, 모험","로버트 다우니 주니어, 크리스 에반스, 마크 러팔로, 크리스 헴스워스, 스칼렛 요한슨, 제레미 레너, 톰 히들스턴, 클라크 그렉, 코비 스멀더스, 스텔란 스카스가드, 사무엘 L. 잭슨, 기네스 팰트로, 폴 베타니, Alexis Denisof, Tina Benko, 예르지 스콜리모프스키, Kirill Nikiforov, Jeff Wolfe, M'laah Kaur Singh, Rashmi Rustagi, Powers Boothe, Jenny Agutter, Arthur Darbinyan, Donald Li, Warren Kole, Alicia Sixtos, Jesse Garcia, Maximiliano Hernández, Dieter Riesle, Kenneth Tigar, Walter Perez, 해리 딘 스탠턴, Josh Cowdery, Ashley Johnson, Katsumi Komatsu, Yumiko Komatsu, Momoko Komatsu, Robert Clohessy, Enver Gjokaj, Fernanda Toker, Andrea Vecchio, Robin Swoboda, Brent McGee, Jamie McShane, Michael Zhang, William-Christopher Stephens, Kelley Robins Hicks, 로미 로즈몬트, James Eckhouse, 스탠 리, Thomas Roberts, Pat Kiernan, Damion Poitier, Lou Ferrigno, Jillian Morgese, Catherine Anderson, Ricardo Andres, Logan Bennett, Mayank Bhatter, Sharita Bone, Jason Botsford, Mary Kate Campbell, Gene N. Chavez, Layla Cushman, Robert Dean, Rick Dremann, Rod Fielder, Eric Frank, Israel Hall, Carmen Dee Harris, Alexander Christopher Jones, Mike Karban, Demoine Kinney, Andrew Knode, Annette Lawless, Kimberly J. Mahoney, Todd Manes, Jorge Mardel, Michael McMillan, Sean Meehan, Holly Neelie, Caleb Daniel Noal, Jeremy Orr, Nate Paige, Martin Palmer, Maria Perossa, Caleb Pieplow, Alexander Daniel Pimentel, Frank Powers, Jaime Powers, Brent Reichert, Kelly Ruble, Gina Sarno, Robert B. Schneider IV, Jeff Seich, Christina Shaffer, Douglas Slygh, Colin Strause, Robert P. Thitoff, George Thomas, Shane Thompson, Jerry Lee Tucker, Tai Urban, Chris Vaina, Sandra Weston, Seth Zielicke, Alex DeCourville, Andrea-Nichole Olivas, Tina Grimm, Evan Kole, Hank Amos, Joti Nagra",https://image.tmdb.org/t/p/w500/krgjV3rJtBcEpQehODKXNCt6uFL.jpg
67,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783",한국,한국,(주)쇼박스,범죄,130분,9.06,우민호,293413.0,"범죄, 드라마","이병헌, 조승우, 백윤식, 이경영, 김홍파, 배성우, 김대명, 조우진, 이엘, 정만식, 황병국, 김의성, 조재윤, 박진우, 남일우, 조덕제, 손종학, 김병옥, 유재명, 박성근",https://image.tmdb.org/t/p/w500/zlFp1a9HXpbyDBaNoS1euprLbLs.jpg
68,인천상륙작전,2016-07-27,"55,116,471,303","7,051,660","1,049","97,038",한국,한국,(주)씨제이이엔엠,전쟁,110분,8.55,이재한,407887.0,"역사, 드라마, 전쟁, 액션","이정재, 리암 니슨, 이범수, 진세연, 정준호, 김선아, 추성훈, 박성웅, 김영애, Jon Gries, Shin Soo-hang, Sean Dulake, Justin Rupple, Matthew D'Arcy, Yoon Da-young, Go Yoon, Andrew William Brand, 정승원, Jin Yong-uk, 김병옥, 박철민, Yang Hee-woo, Kil Eun-sung, 조원희, Angus Yang, 김중희, Jang Jun-hak, Jon Gries, 이충구, Kim Je-yeol, Park Jung-won, Hyun Seung-ho, 이원종, Song Gyeong-cheol, 매튜 다우마, 김정민, Lee Hae-jun, Lee Na-kyung, 홍기준, Park Kyoung-hee, Lee Jin-seong, Lee Yu-jin, Kim Soo-oh, 김중기, Jung Chan-sung, 우도환, Kim Min-seok, Min Hoo, Park Sang-won, Yoon Soo-hyuk, Lee Jae-woo, Ham Tae-in",https://image.tmdb.org/t/p/w500/d1aCJ4Ty8pcuZF0YwCIsF1uFw2A.jpg
69,공조 2: 인터내셔날,2022-09-07,"70,918,411,586","6,983,077","2,389","275,817",한국,한국,(주)씨제이이엔엠,액션,129분,7.92,이석훈,736820.0,"액션, 코미디","현빈, 유해진, 윤아, 다니엘 헤니, 진선규, 장영남, 이해영, 박훈, 임성재, Yoon Sang-hwa, Park Min-ha, 전국환, 전배수, 서동원, 박형수, 이민지, 김원해, 조달환, Lee Seung-hun, 이제연, 박종환, 김중희, Han Hyeon-jik, Kim Kyung-sik, 정윤하, 임세인",https://image.tmdb.org/t/p/w500/poEYP8BZswiVu0xCFVbq8uPxR6l.jpg
70,럭키,2016-10-13,"56,445,477,256","6,975,647","1,234","155,993",한국,한국,(주)쇼박스,코미디,112분,8.76,이계벽,421928.0,"액션, 코미디, 범죄","유해진, 이준, 조윤희, 임지연, 고준, Cha Soon-hyeong, 조한철, 차엽, 김민상, Kim Ji-an, 성병숙, Park Seoung-tae, 이용녀, 이성욱, 정희태, 이동용, Song Yo-sep, 금광산, Lee Seung-chul, Kim Han-gyu, Cho Han-na, 이동휘, 아누팜 트리파티, 장혁진, Na Soo-yoon, Moon Jong-won, 서영화, Lee Myeong-ja, Jang Woo-jin, 최대성, Ahn Chae-mi, Lee Yool, 김익태, Choi Won, Yoon Jong-goo, 옥주리, Lee Gyu-hyeon, Ryoo Sung-hoon, Koo Min-hyuk, Lee Joo-won, Chae Hee-jae, Kim Jeong-yeon, 박유림, 전혜빈, Choi Young-min, Cha Sung-je, 엄혜수, 이하늬, Hong Seong-o, Kang Ji-hoon, Baek Chun-ki, Ok Il-Jae, Kim Jong-hoon",https://image.tmdb.org/t/p/w500/nesOkYBHXlqCJu1gMNlO6pVQYEt.jpg
71,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,463",한국,한국,(주)쇼박스,액션,123분,7.13,장철수,199584.0,"액션, 드라마, 코미디","김수현, 박기웅, 이현우, 손현주, 고창석, 김성균, 신정근, 홍경인, 이채영, 박은빈, 최우식, 구승현, 엄태구, 김법래, Park Hye suk, 조용진, 조영진, 이연경, 고인범, Yoo Jun",https://image.tmdb.org/t/p/w500/ut4YgWO7DvlvKrrYIEDcLjrTpO6.jpg
