순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독,tmdb_id,genres,cast,poster_url
1,명량,2014-07-30,"135,762,515,310","17,616,371","1,587","188,730",한국,한국,(주)씨제이이엔엠,액션,128분,8.88,김한민,282631.0,"전쟁, 액션, 드라마, 역사","최민식, 류승룡, 조진웅, 진구, 이정현, 김명곤, 권율, 노민우, 김태훈, 오타니 료헤이, Kim Kang-il, 박보검, 이해영, 장준녕, 문영동, 김원해, 최덕문, 박노식, Shin Yoo-ram, Ha Soo-ho, Kim Hyeon-tae, Kang Tae-young, Kim Koo-taek, 조복래, 고경표, 이재구, 조하석, 이주실, Kyul Hwi, 주석태, Kim Min-sik, Lee Seung-joon, 이승준, Jung Je-woo, Kim Moon-jong",https://image.tmdb.org/t/p/w500/fl3G8TprVzt4icbYyQKqdPmUfIO.jpg
2,극한직업,2019-01-23,"139,657,209,516","16,266,491","2,003","292,819",한국,한국,(주)씨제이이엔엠,코미디,111분,9.2,이병헌,567646.0,"액션, 코미디, 범죄","류승룡, 이하늬, 진선규, 이동휘, 공명, 신하균, 오정세, 김의성, 송영규, 허준석, 김지영, 김종수, 양현민, 이중옥, 김강현, 태원석, Jang Ji-woong, Jang Jin-hee, 신신애, Na Chul, Ji Chan, Jung Won-chang, Yoo Je-yoon, 한준우, 정재광, 김남우, Jeongeun",https://image.tmdb.org/t/p/w500/jbHNkNydiZstlqhhBSvG19lm4NL.jpg
3,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,139분,8.73,김용화,397567.0,"액션, 모험, 드라마, 판타지, 스릴러","하정우, 차태현, 주지훈, 김향기, 이정재, 김동욱, 예수정, 오달수, 임원희, 성유빈, 구승현, 이준혁, 도경수, 정해균, 김해숙, 김수안, 이경영, 김하늘, 장광, Kang Da-hyeon, 유준상, 남일우, 정지훈, 김수로, Na Chul, 태원석, Oh Hee-jun, 김태준, 임철수, Hong In, 김민종, 마동석, 김그림",https://image.tmdb.org/t/p/w500/z54zrEXAKd5u1SCPNOIAKgvGXte.jpg
4,국제시장,2014-12-17,"110,960,515,230","14,266,489","1,044","212,728",한국,한국,(주)씨제이이엔엠,드라마,126분,9.16,윤제균,313108.0,드라마,"황정민, 김윤진, 오달수, 정진영, 장영남, 라미란, Uhm Ji-sung, 김슬기, 김민재, 태인호, Choe Stella Kim, Go Yoon, 박선웅, 정윤호, Park Yeong-su, 허동원, 매튜 다우마, 전소미, 정성호, Jeong Jae Min, Lee Hyun, Hwang Sun-hwa, Jang Dae-woong, Shin Rin-a, Lee Ye-eun, Jeong Gi-seop, Lee Jae-Soon, 아누팜 트리파티, 박영수, So Jun-seong, 최재섭, Jung Young-ki, Yoo Jeong-ho, Maeng Se-chang, 홍석연, 남진복, Hwang In-jun, Jo Yeon-ho, 김설, Jin Sun-mi, Sung Nak-kyung, Kim Jin-hyeok, Han Chul-woo, 손영순, Yoo Jae-sang, 김선영, Kim Soo-woong, Park Sang-hyeok, 현봉식, 박혜진, Park Jin-soo, Kang Shin-chul, Lee Min-young, 이호철, 박재완, Kim Geun-young, Nam Seung-woo, 박길수, 김건호, Jung Chan-woo",https://image.tmdb.org/t/p/w500/rmZ4qkpDVdTgjwliJ84aJ43hStt.jpg
5,어벤져스: 엔드게임,2019-04-24,"122,490,648,020","13,977,409","2,835","246,411",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,181분,9.5,안소니 루소,299534.0,"모험, SF, 액션","로버트 다우니 주니어, 크리스 에반스, 마크 러팔로, 크리스 헴스워스, 스칼렛 요한슨, 제레미 레너, 조쉬 브롤린, 돈 치들, 폴 러드, 베네딕트 컴버배치, 채드윅 보스만, 브리 라슨, 톰 홀랜드, 카렌 길런, 조 샐다나, 에반젤린 릴리, 테사 톰슨, 르네 루소, 엘리자베스 올슨, 앤서니 매키, 세바스찬 스탠, 톰 히들스턴, 다나이 구리라, 베네딕트 웡, 폼 클레멘티에프, 데이브 바티스타, 레티티아 라이트, 존 슬래터리, 틸다 스윈튼, 존 패브로, 헤일리 앳웰, 나탈리 포트만, 마리사 토메이, 타이카 와이티티, 안젤라 바셋, 마이클 더글라스, 미셸 파이퍼, 윌리엄 허트, 코비 스멀더스, 숀 건, 윈스턴 듀크, 린다 카델리니, Maximiliano Hernández, 프랭크 그릴로, 사나다 히로유키, Tom Vaughan-Lawlor, 제임스 다시, Jacob Batalon, 빈 디젤, 브래들리 쿠퍼, 기네스 팰트로, 로버트 레드포드, 크리스 프랫, 사무엘 L. 잭슨, Lexi Rabe, 로스 마퀀드, 조 루소, Emma Fuhrmann, Michael James Shaw, Terry Notary, 케리 콘돈, Ben Sakamoto, Ava Russo, Cade Woodward, 스탠 리, 이벳 니콜 브라운, Callan Mulvey, Lia Russo, Julian Russo, Taylor Patterson, Agostino Rosalina, 켄 정, Ty Simpkins, Jackson A. Dunn, Lee Moore, Bazlo LeClair, Loen LeClair, Matthew Berry, Joy McAvoy, John Michael Morris, Michael A. Cook, Brent McGee, Brian Schaeffer, Jamie Wedel, Anthony G Breed, Erica Ribley, Monique Ganderton, Jim Starlin, Jimmy Ray Pickens, Hye Jin Jang, Russell Bobbitt, James Lin, Jack Champion, 샘 하그레이브, Patrick Gorman, Aaron Lazar, Robert Pralgo, Tom Wisdom, John Posey, Ameenah Kaplan, Olaniyan Thurmon, Jennifer Elmore, Mike Lutz, Donald Mustard",https://image.tmdb.org/t/p/w500/z7ilT5rNN9kDo8JZmgyhM6ej2xv.jpg
6,겨울왕국 2,2019-11-21,"115,033,955,041","13,768,797","2,648","301,536",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,103분,8.94,크리스 벅,330457.0,"가족, 애니메이션, 모험, 코미디, 판타지","크리스틴 벨, 이디나 멘젤, 조시 게드, 조나단 그로프, 에반 레이첼 우드, 스털링 K. 브라운, 알프레드 몰리나, Rachel Matthews, Jason Ritter, 마사 플림턴, 키어런 하인즈, Jeremy Sisto, Stephen J. Anderson, Chris Williams, Maia Wilson, Paul Briggs, Hadley Gannaway, Mattea Conforti, Aurora Aksnes, 앨런 튜딕, Santino Fontana, Livvy Stubenrauch, Eva Bella, Jackson Stein, Delaney Rose Stein, Halima V. Hudson, Isabella Acres, Stephen Apostolina, Kimberly Bailey, David Boat, June Christopher, Antonio Raul Garcia, David Cowgill, Wendy Cutler, Hudson D'Andrea, 그레이 딜라일, 제시카 디치코, Terri Douglas, Robin Atkin Downes, Nick Fisher, Jackie Gonneau, Franck Gourlat, Daniel Kaz, Phil LaMarr, Arnaud Léonard, Mimi Maynard, Scott Menville, Melanie Minichino, 맥스 미틀먼, Matt Nolan, Capri Oliver, Arthur Ortiz, Paul Pape, Michael Ralph, Akai Robinson, Lynwood Robinson, Maddix Robinson, Kaitlyn Robrock, Violet Grace Schaffer, Pepper Sweeney, Fred Tatasciore, Jean-Alain Velardo, 카리 월그런, Matthew Wood",https://image.tmdb.org/t/p/w500/nPwt7cv4eeUeI0t7CuWm3BctetO.jpg
7,베테랑,2015-08-05,"105,170,856,250","13,414,484","1,115","199,307",한국,한국,(주)씨제이이엔엠,액션,123분,9.24,류승완,346646.0,"액션, 범죄","황정민, 유아인, 유해진, 오달수, 장윤주, 오대환, 김시후, 정웅인, 정만식, 천호진, 송영창, 진경, 유인영, 이동휘, 장소연, 김민재, 황병국, 박종환, 엄태구, 박소담, 고규필, 마동석, 배성우, Gambhir Man Shrestha, 이상희, 이다해, 이채은, Choe Min, Bae Je-gi, 신승환",https://image.tmdb.org/t/p/w500/vPFqA1KxYaVJg6foIuRIawGaH5d.jpg
8,아바타,2009-12-17,"125,297,849,000","13,337,833",910,"164,437",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",액션,166분,9.41,제임스 카메론,19995.0,"액션, 모험, 판타지, SF","샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 미셸 로드리게즈, Giovanni Ribisi, 조엘 무어, CCH Pounder, Wes Studi, 라즈 알론소, 딜립 라오, Matt Gerald, Sean Anthony Moran, Jason Whyte, Scott Lawrence, Kelly Kilgour, James Patrick Pitt, Sean Patrick Murphy, Peter Dillon, Kevin Dorman, Kelson Henderson, David Van Horn, Jacob Tomuri, Michael Blain-Rozgay, Jon Curry, Julene Renee, Luke Hawker, Woody Schultz, Peter Mensah, Sonia Yee, Jahnel Curfman, Ilram Choi, Kyla Warren, Lisa Roumain, Debra Wilson, Taylor Kibby, Jodie Landau, Chris Mala, Julie Lamm, Cullen B. Madden, Joseph Brady Madden, Frankie Torres, Austin Wilson, Sara Wilson, Tamica Washington-Miller, Lucy Briant, Nathan Meister, Gerry Blair, Matthew Chamberlain, Paul Yates, Wray Wilson, James Gaylyn, Melvin Leno Clark III, Carvon Futrell, Brandon Jelkes, Micah Moch, Haniyyah Tahirah, Christopher Nolen, Christa Oliver, April Marie Thomas, Bravita A. Threatt, Alicia Vela-Bailey, Larry Rew, Dina Morrone, Rodney Cook",https://image.tmdb.org/t/p/w500/m5lCha2XcbDowDoYHPc0DTNaCPU.jpg
9,서울의 봄,2023-11-22,"127,929,877,212","13,128,419","2,463","374,545",한국,한국,플러스엠 엔터테인먼트,드라마,141분,9.48,김성수,919207.0,"드라마, 역사, 스릴러, 범죄, 전쟁","황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, Jung Hyung-suk, 박정학, 박원상, 정만식, 정해인, 이준혁, Park Hyeok-min, Yum Dong-hun, 전진기, Choe Won-kyung, 차래형, Gong Jae-min, Kwon Hyuk, Han Chang-hyun, Song Young-geun, 전수지, 서광재, 임철형, 현봉식, 곽자형, Jeon Woon-jong, Lee Seung-hee, 김기무, 문성복, Kim Ok-joo, 박정표, Kwak Jin-seok, 한규원, 우미화, Cha Gun-woo, 김정팔, 황병국, Choe Min, Lee Gwi-woo, 강길우, 안성봉, Baek Jin-wook, Paul Battle, Brad Curtin, Yoon Dae-yeul, Lee Gi-hoon, Choi Ji-ho, Jung Tae-sung, 김승환, Oh Hyun-seok, Lee Soon-poong, Kwon Hyeok-beom, Kim Beom-soo, Jang Ji-yong, 권다함, 이가경, Bae Ki-beom, Lee Mi-ra, 정윤하, Lee Jung-chul",https://image.tmdb.org/t/p/w500/qYczuua2tgjfxcdtLNDC0n4mOHz.jpg
10,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487",한국,"한국,홍콩",(주)쇼박스,범죄,135분,7.66,최동훈,124157.0,"액션, 범죄","김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현, 曾国祥, 李心潔, 신하균, 주진모, 서영주, 최덕문, 예수정, Son Byeong-uk, Gi Guk-seo, 채국희, 최진호, 김윤태, 김영웅, 나광훈, Kim Yun-tae",https://image.tmdb.org/t/p/w500/ujIHEzt2EEboVzjQoWZBMYdAt1v.jpg
11,7번방의 선물,2013-01-23,"91,437,620,170","12,812,186",866,"167,014",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,127분,8.82,이환경,158445.0,"드라마, 코미디","류승룡, 박신혜, 갈소원, 정진영, 오달수, 박원상, 김정태, 정만식, 김기천, 박길수, 조재윤, 조덕현, 예서, 박상면, Jung Jae-min, Choi Ro-woon, Jung Han-bi, No Kang-min, Lee Yun-hee, Kang Seung-wan, 이승연, Yeo Moo-yeong, 윤선우, 김세동, 이윤희, Han Seong-yong, Jeong Moon-yeop, 정희태, Jeon Hun-tae, Kim Bae-gun, 오창경, 임재민, Min Jung-ki, Song Lee-woo, Kyul Hwi, Cho Joo-kyoung",https://image.tmdb.org/t/p/w500/c9TqJPm4pZCuiEXumTayoNIrBSK.jpg
12,알라딘,2019-05-23,"109,083,614,867","12,800,870","1,409","284,954",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,모험,128분,9.41,가이 리치,420817.0,"모험, 판타지, 로맨스, 가족","윌 스미스, 메나 마수드, 나오미 스콧, Marwan Kenzari, 나비드 네가반, 나심 페드라드, 빌리 매그너슨, Numan Acar, Jordan A. Nash, Taliyah Blair, Aubrey Lin, Amir Boutrous, Omari Bernard, Nathaniel Ellul, Sebastien Torkia, Buckso Dhillon-Woolley, Ceara Batson, Vinani Mwazanzale, Demii Lee Walker, Elena Zacharia, Nazerene Williams, Bessy Naidu, Marisha Wallace, Maya Saroya, Amar Chadha-Patel, Omar Abidi, Stefan Kalipha, Firas Waleed Al-Taybeh, Nina Wadia, Elif Knight, Saikat Ahamed, Amed Hashimi, Stefan Capper, Jamal Sims, 앨런 튜딕, 프랭크 웰커, Robby Haynes, Michael Herne, Hiten Patel, 조이 앤사, Luke Johnson, Rene Costa",https://image.tmdb.org/t/p/w500/hvoi0h5hX7cKjatXvbc3gYqT1Xw.jpg
13,암살,2015-07-22,"98,472,466,681","12,707,330","1,519","175,332",한국,한국,(주)쇼박스,액션,139분,9.1,최동훈,291549.0,"액션, 스릴러, 드라마","전지현, 하정우, 이정재, 오달수, 조진웅, 이경영, 최덕문, 김의성, 박병은, 진경, Heo Ji-won, 김홍파, 정규수, 김강우, 조승우, 김해숙, Cheal-jong Shim, 정인겸, 이환, 김인우, 이영석, 심희섭, 금새록, 허정도, Woo Sang-jeon, Jo Min-ho, 이다일, Park Se-jin, Do Mo-Se, 김태준",https://image.tmdb.org/t/p/w500/2gAym5Oig2NM7k6iu0DwXlxYaGY.jpg
14,범죄도시 2,2022-05-18,"131,298,796,478","12,693,415","2,521","355,768",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",범죄,106분,8.98,이상용,619803.0,"액션, 범죄, 스릴러, 모험","마동석, 손석구, 최귀화, 박지환, 허동원, 하준, 정재광, 남문철, 박지영, 이주원, 음문석, 김찬형, Lee Gyu-woon, 전진오, 이다일, Kim Young-sung, 차우진, 박광재, Baek Seung-ik, Choi Jae-hoon, Woo Kang-min, Kang Deok-joong, Song Yo-sep, 윤병희, Seo Moon-ho, 한우열, Kwon Hyeok-beom, 박은우, Kim Seo-won, Son Seung-beom, 정인기, Kim Sang-wook, Lee Tae-kyu",https://image.tmdb.org/t/p/w500/nM1bSFJ84mB6woEFoGDjs7eeYWB.jpg
15,"광해, 왕이 된 남자",2012-09-13,"88,913,283,469","12,324,062","1,001","203,464",한국,한국,(주)씨제이이엔엠,드라마,131분,9.26,추창민,133200.0,"드라마, 역사","이병헌, 류승룡, 한효주, 김인권, 장광, 심은경, 박지아, 신정근, 전국향, 이엘, 김명곤, Kyul Hwi, 이양희, 이봉련, Lee Ran-hee, 신운섭, Joo Young-ho, Yang Joon-mo, 문창길, Kwon Eun-soo, 도용구, 유순웅, Ha Soo-ho, 이준혁, 김비비, 이재용, 허성태",https://image.tmdb.org/t/p/w500/6Pg5AwsJUqeGanGOWcaljQXGe5g.jpg
16,신과함께-인과 연,2018-08-01,"102,689,349,539","12,278,010","2,235","180,750",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,141분,8.63,김용화,518068.0,"액션, 모험, 판타지, 스릴러","하정우, 주지훈, 김향기, 마동석, 김동욱, 이정재, 조한철, 임원희, 남일우, 정지훈, 도경수, 이준혁, 장광, 정해균, 이경영, 김명곤, 예수정, 성동일, 이준혁, Jung Yoo-ahn, 안지호, 정아미, Seol Si-yeon, 김지안, Hong In, 임철수, 김태준, 김민종, Kwak Min-kyu, 민무제, Kang Shin-chul, Oh Hee-jun",https://image.tmdb.org/t/p/w500/2ETx0U2Q5gUHtPJZiQ3hakTqyaR.jpg
17,택시운전사,2017-08-02,"95,872,794,149","12,189,872","1,906","184,229",한국,한국,(주)쇼박스,드라마,137분,9.28,장훈,437068.0,"액션, 드라마, 역사","송강호, 토마스 크레치만, 유해진, 류준열, 박혁권, 최귀화, 차순배, 신담수, Ryu Sung-hyun, 엄태구, Min-hee Park, 이정은, Eun-mi Yoo, 서현우, 고창석, 전혜진, Joey Albright, 정진영, 류태호, 정석용, 허정도, Kyul Hwi, Lee Sae-byeol, 이호철, 이용이, Han Sa-myeong, 최재섭, Yang Shin-ji, 이봉련, Park Sung-hyun, Son Jong-hwan",https://image.tmdb.org/t/p/w500/pCdx7X5JLaSJZLNVtpryGSdjvvB.jpg
18,파묘,2024-02-22,"115,157,490,414","11,914,784","2,367","364,955",한국,한국,(주)쇼박스,미스터리,134분,8.22,장재현,838209.0,"미스터리, 공포, 스릴러","최민식, 김고은, 유해진, 이도현, 김재철, 전진기, 김선영, 김지안, 김민준, 김병오, 코야마 리키야, 박정자, 박지일, 이종구, 이영란, Jung Sang-cheol, 김태준, 김서현, Go Chun-ja, Song Gwang-ja, 최문경, Akane Ono, 정윤하, Shin Regina, 홍서준, 장의돈, 이다윗, 이은주, Baek Seung-chul, Yoon Jae-in, 박재완, Han Hye-ji, 심소연, Choi Jeong-hwa, Kim He-sang",https://image.tmdb.org/t/p/w500/tw0i3kkmOTjDjGFZTLHKhoeXVvA.jpg
19,부산행,2016-07-20,"93,188,170,548","11,567,816","1,788","151,535",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,118분,8.6,연상호,396535.0,"공포, 스릴러, 액션, 모험","공유, 김수안, 정유미, 마동석, 최우식, 안소희, 김의성, 예수정, 박명신, 최귀화, 정석용, Kim Chang-hwan, 장혁진, 심은경, 이주실, 김재록, 차청화, Kim Won-jin, 한지은, Han Sung-soo, 이중옥, 김주헌, 김금순, Chyu Kwang-hyun, Jung Young-ki, 옥주리, Woo Do-im, Song Ji-hyuk, Kim Woon, Jeon Ye-eun, 백승환, 연상호, Choi Woo-sung",https://image.tmdb.org/t/p/w500/6XvEZVBFFjybvb1yQd1qfOC6F2S.jpg
20,범죄도시 4,2024-04-24,"110,050,000,734","11,502,779","2,980","375,434",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",액션,109분,7.52,허명행,1017163.0,"액션, 범죄, 드라마, 스릴러, 코미디","마동석, 김무열, 박지환, 이동휘, 이주빈, 이범수, 김민재, 이지훈, 김도건, 김신비, 현봉식, 김지훈, 김영웅, Ryu Ji-hoon, 백승환, 배재원, 안성봉, 김호준, 정인기, 권일용, 박보경, 김수진, 배해선, Jo Jin-kyul, Kang Jun-seok, Min Hyo-kyung, 조현식, 정지영, Kang Shin-chul, Jang Tae-min, Kim Mo-beom, 최현도, 김선문, 이상진, Park Geun-jeong",https://image.tmdb.org/t/p/w500/jucHQwnRSma1O9V2bM007e4eSd7.jpg
21,변호인,2013-12-18,"82,876,713,788","11,375,399",925,"152,290",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,127분,9.3,양우석,242452.0,"역사, 드라마","송강호, 김영애, 오달수, 임시완, 곽도원, 조민기, 송영창, 이성민, 정원중, 이항나, 심희섭, 류수영, 차광수, Han Gi-joong, Cho Wan-ki, Cha Eun-Jae, 이정은, Jeong Joon-won, 박수영, 유하복, 설창희, 전광진, 최정현, Lee Jin-hee, 신안진, Jang Liu",https://image.tmdb.org/t/p/w500/5tm4Rv24NYdGpuWzA6aF5h1qm0E.jpg
22,해운대,2009-07-22,"81,028,720,000","11,325,117",764,"154,332",한국,한국,씨제이엔터테인먼트,모험,120분,7.43,윤제균,33196.0,"액션, 드라마, 스릴러","설경구, 하지원, 박중훈, 엄정화, 이민기, 강예원, 김인권, 송재호, 김유정, 성병숙, 김지영, Cheon Bo-geun, Lee Briggs, 여호민, Lee Si-on, 박명훈, 도용구, 이대호, 지대한, Ju Min-ha, Jang Myung-kap, Yum Dong-hun, Son Hee-soon, Rho Jun-ho",https://image.tmdb.org/t/p/w500/b8oI2Gx12Wf51HqkRnKrCuzP5g7.jpg
23,어벤져스: 인피니티 워,2018-04-25,"100,081,428,549","11,233,176","2,553","243,677",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,149분,9.09,안소니 루소,299536.0,"모험, 액션, SF","로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 조쉬 브롤린, 마크 러팔로, 스칼렛 요한슨, 돈 치들, 베네딕트 컴버배치, 톰 홀랜드, 채드윅 보스만, 조 샐다나, 카렌 길런, 톰 히들스턴, 폴 베타니, 엘리자베스 올슨, 앤서니 매키, 세바스찬 스탠, 이드리스 엘바, 다나이 구리라, 피터 딘클리지, 베네딕트 웡, 폼 클레멘티에프, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼, 크리스 프랫, 기네스 팰트로, 베니시오 델 토로, 숀 건, 윌리엄 허트, 레티티아 라이트, Terry Notary, Tom Vaughan-Lawlor, 캐리 쿤, Michael James Shaw, 스탠 리, 윈스턴 듀크, Florence Kasumba, 케리 콘돈, Monique Ganderton, Jacob Batalon, Tiffany Espensen, Isabella Amara, Ethan Dizon, 아리아나 그린블랫, Ameenah Kaplan, 로스 마퀀드, Michael Anthony Rogers, 스티븐 맥필리, Aaron Lazar, Robert Pralgo, Olaniyan Thurmon, Blair Jasin, Matthew Zuk, Laura Miller, 케네스 브래너, 사무엘 L. 잭슨, 코비 스멀더스, Harrison Osterfield, Gary Peebles, Marija Abney, Zola Williams, Marie Mouroum, James Siderits, Precious Jenkins, Bobby James, Lady Cardinal, Tanya Wheelock",https://image.tmdb.org/t/p/w500/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg
24,괴물,2006-07-27,"66,618,683,300","10,900,281",647,"112,933",한국,한국,(주)쇼박스,모험,119분,8.63,봉준호,1255.0,"공포, 드라마, SF","송강호, 변희봉, 박해일, 배두나, 고아성, 오달수, 이재응, Lee Dong-ho, 윤제문, 임필성, 김뢰하, 고수희, 김학선, Scott Wilson, Brian Rhee, Paul Lazar, David Anselmo, 백도빈, Martin Lord Cayce, 최대성, Choi Doo-yeong, 최재섭, Jung Seo-yoon, Philip Hersh, 정인기, Jeong Hyeong-Ho, Ji Ha-geon, Moon Hee-Ra, Jeong Kang-hee, 김비비, Kim Choo-wol, Kim Da-yeon, Kim Hyo-sun, Kim Jin-seon, Kim Nan-hee, Kim Sang-jo, Kwon Bang-hyeon, 권병길, 권혁풍, 이동용, Lee Eung-jae, Lee Hoon-jin, Lee Jong-yoon, Lee Seung-jin, 민경진, Clinton Morgan, Park Jeong-gi, Park Kyeong-mok, 박노식, 라미란, Seo Ha-neul, Shin Seung-ri, 신현종, 손영순, 손진호, Song Kyeong-ha, 유승목, 유연수, Seo Young-ju, 고창석, 박진우",https://image.tmdb.org/t/p/w500/tqDQzYGi1EWHgUZY91YRSJLDJVf.jpg
25,아바타: 물의 길,2022-12-14,"137,647,728,899","10,805,069","2,809","283,036",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,192분,8.83,제임스 카메론,76600.0,"SF, 모험, 액션","샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 케이트 윈슬렛, Cliff Curtis, 조엘 무어, CCH Pounder, 이디 팰코, 저메인 클레멘트, Giovanni Ribisi, Britain Dalton, Jamie Flatters, Trinity Bliss, Jack Champion, Brendan Cowell, Bailey Bass, Filip Geljo, Duane Evans Jr., 딜립 라오, Matt Gerald, Robert Okumu, Jennifer Stafford, Keston John, Kevin Dorman, Alicia Vela-Bailey, Sean Anthony Moran, Andrew Arrabito, Johnny Alexander, Kim Do, Victor T. Lopez, Maria Walker, Phil Brown, Jocelyn Christian, Joel Tobeck, Moana Ete, Phil Peleton, Jamie Landau, Jim Moore, Benjamin Hoetjes, Nikita Tu Bryant, Anthony Ahern, Shane Rangi, Rick Lucas, Tanya Drewery, Ava Diakhaby, Isaac Te Reina, Eric Farmer, Philip Mtambo, Daniel Lough, Cruz Moir, Alex Lucas, Scarlett Fernandez, 클로에 콜맨, Jeremy Irwin, Jake McLean, CJ Jones",https://image.tmdb.org/t/p/w500/u2aVXft5GLBQnjzWVNda7sdDpdu.jpg
26,범죄도시 3,2023-05-31,"104,687,737,771","10,682,813","2,582","311,915",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",범죄,105분,7.65,이상용,955555.0,"액션, 범죄, 코미디, 스릴러, 드라마","마동석, 이준혁, 아오키 무네타카, 이범수, 김민재, 이지훈, 김도건, 고규필, 전석호, 쿠니무라 준, 박지환, 안세호, 한규원, Choi Woo-jun, 최동구, Lee Se-ho, Kang Yoon, Lee Tae-kyu, Hong Jun-young, Choi Kwang-je, Ryu Sung-hyun, Bae Noo-ri, 고건한, Yoo In-hyuk, Shin Hyeon-yong, Shim Young-eun, Kim Ki-ho, Gong Teyu, Cho Kook-hyung, Son In-yong, Jeon Ah-hee, 손지영, Han Da-hee, 정미형, Min Kim, Park Jun-hyuk, Yeon Ye-rim, 한기장, 최춘범",https://image.tmdb.org/t/p/w500/kPtNokhBtgwSp3MHaR3X4O0SPbF.jpg
27,왕의 남자,2005-12-29,"66,013,095,400","10,513,059",313,"111,183",한국,한국,(주)시네마서비스,드라마,119분,9.04,이준익,45035.0,"드라마, 역사, 스릴러","감우성, 이준기, 정진영, 강성연, 유해진, 장항선, 정석용, 이승훈, 윤주상, 최일화, 신정근, 우현, 윤소정, 이영석, Jeon Il-beom, 맹봉학, Jeong Dae-yong, 조련, Seo Seung-won, 신운섭, Kim Jin-Su, 박영수",https://image.tmdb.org/t/p/w500/9oucBWXrvBEelzUjPQheImlb8D1.jpg
28,어벤져스: 에이지 오브 울트론,2015-04-23,"88,645,598,646","10,504,487","1,843","194,385",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",액션,141분,8.59,조스 웨던,99861.0,"액션, 모험, SF","로버트 다우니 주니어, 크리스 헴스워스, 마크 러팔로, 크리스 에반스, 스칼렛 요한슨, 제레미 레너, 제임스 스페이더, 사무엘 L. 잭슨, 돈 치들, 에런 테일러존슨, 엘리자베스 올슨, 폴 베타니, 코비 스멀더스, 앤서니 매키, 헤일리 앳웰, 이드리스 엘바, 린다 카델리니, 스텔란 스카스가드, 수현, 토마스 크레치만, 앤디 서키스, 줄리 델피, 스탠 리, Henry Goodman, Chris Luca, Brian Schaeffer, Dominique Provost-Chalkley, Isaac Andrews, Gareth Kieran Jones, Chan Woo Lim, Minhee Yeo, Bentley Kalu, Julian Bleach, Christopher Beasley, Vuyo Dabula, Nondumiso Tembe, Kabelo Thai, Lele Ledwaba, Mandla Gaduka, Harriet Manamela, Beulah Hashe, Musca Kumalo, Mathapelo September, Antony Acheampong, Chioma Anyanwu, Ben Sakamoto, Imogen Poynton, Isabella Poynton, Ingvild Deila, Sunny Yeo, Namju Go, Mina Kweon, Earl T. Kim, Arthur Lee, Verity Hewlett, Michael Matovski, Alma Noce, Riccardo Richetta, Constanza Ruff, Monty Mclaren-Clark, Julia Krynke, Tony Christian, Ian Kay, Barry Aird, Aaron Himelstein, 케리 콘돈, Jaiden Stafford, 조쉬 브롤린, Robert J. Fraser, Lou Ferrigno, Zakk Pierce",https://image.tmdb.org/t/p/w500/y8pY5MIzpPAnF5vYUNm1tw1AzL3.jpg
